ID	Length	SRR7537192_sorted
ENSG00000143977.14	4999	1901.5
ENSG00000108551.5	4499	258.5
ENSG00000274177.1	10499	1227.5
ENSG00000277066.1	3999	284.5
ENSG00000107175.12	7999	583.5
ENSG00000104960.15	6999	534.5
ENSG00000179168.14	9999	3607.0
ENSG00000277959.1	10499	466.5
ENSG00000263585.1	4499	1215.5
ENSG00000232220.2	3999	406.5
ENSG00000107223.13	52999	12260.0
ENSG00000138031.14	5999	529.0
ENSG00000122692.9	16499	11094.0
ENSG00000251892.1	16499	482.0
ENSG00000104903.4	4499	214.0
ENSG00000288080.1	3999	40.5
ENSG00000271996.1	12999	410.5
ENSG00000235593.1	5499	91.0
ENSG00000230185.5	10999	153.5
ENSG00000226742.4	17999	1832.5
ENSG00000163516.13	3999	170.5
ENSG00000116668.13	24499	4270.0
ENSG00000009724.16	13999	7048.5
ENSG00000157483.8	8999	487.0
ENSG00000196979.1	5999	2198.0
ENSG00000103035.11	6999	149.5
ENSG00000207119.2	5499	9557.0
ENSG00000273687.1	17247	705.5
ENSG00000253385.1	6999	840.0
ENSG00000175309.15	3999	3505.5
ENSG00000285685.1	3999	130.0
ENSG00000200674.1	9499	1255.5
ENSG00000231748.1	16999	740.5
ENSG00000172543.8	4999	964.0
ENSG00000133055.9	3999	582.5
ENSG00000207194.1	11999	571.0
ENSG00000108309.14	6499	2017.5
ENSG00000140104.14	9999	880.0
ENSG00000253200.1	5999	309.5
ENSG00000103056.12	7499	307.5
ENSG00000151466.12	55499	2880.0
ENSG00000232767.2	37499	2875.5
ENSG00000002330.13	4999	590.0
ENSG00000168591.16	6499	1134.0
ENSG00000225652.1	5999	114.0
ENSG00000166900.17	4999	645.5
ENSG00000104679.11	12499	7047.5
ENSG00000114503.11	8499	1691.5
ENSG00000137496.17	8499	1711.0
ENSG00000206743.1	4499	99.0
ENSG00000276259.1	9499	1200.5
ENSG00000143952.20	8999	1934.0
ENSG00000161860.7	7499	275.5
ENSG00000185038.14	21499	4938.5
ENSG00000253722.1	5999	1563.5
ENSG00000287916.1	14499	10448.0
ENSG00000287809.1	5499	149.5
ENSG00000227627.3	11499	386.5
ENSG00000261236.8	11999	277.5
ENSG00000104886.11	3999	137.0
ENSG00000086232.13	12999	997.0
ENSG00000277496.1	5499	120.5
ENSG00000168291.13	20999	1075.5
ENSG00000136937.13	23499	577.0
ENSG00000272037.1	16999	1411.0
ENSG00000177463.15	8499	270.5
ENSG00000076108.11	8999	327.5
ENSG00000278421.1	5499	184.0
ENSG00000096384.20	11999	1809.0
ENSG00000171757.15	12999	652.0
ENSG00000143891.17	9999	4768.0
ENSG00000164674.15	24999	6451.0
ENSG00000261267.1	3999	41.0
ENSG00000273138.1	18999	678.0
ENSG00000205981.8	23999	4540.0
ENSG00000230912.1	6499	72.0
ENSG00000188242.4	12999	1026.0
ENSG00000167535.8	9499	3059.0
ENSG00000177981.11	10499	922.0
ENSG00000091106.19	4499	1322.0
ENSG00000286018.1	9499	3861.5
ENSG00000164168.7	4499	90.5
ENSG00000171444.18	42499	5578.5
ENSG00000159210.9	6499	2426.5
ENSG00000004487.16	10999	2255.0
ENSG00000178425.14	4999	198.5
ENSG00000187510.9	17499	1467.5
ENSG00000169919.17	6999	4171.0
ENSG00000261668.1	13499	1236.5
ENSG00000250015.1	9999	538.0
ENSG00000255557.1	9499	674.0
ENSG00000200924.1	11499	1267.0
ENSG00000111786.9	5499	706.0
ENSG00000174276.6	4499	66.0
ENSG00000233175.2	5999	91.5
ENSG00000061273.18	3999	111.5
ENSG00000008056.14	9999	820.0
ENSG00000104826.14	6499	1631.5
ENSG00000146197.9	3999	45.0
ENSG00000197168.13	5499	991.5
ENSG00000228544.1	12999	4459.0
ENSG00000139626.16	9999	834.5
ENSG00000264044.1	8499	2226.0
ENSG00000212461.1	24499	892.5
ENSG00000134575.11	8999	627.5
ENSG00000269292.1	6999	1595.0
ENSG00000188585.9	6999	1039.5
ENSG00000197694.15	8499	1484.5
ENSG00000183018.9	16499	1688.0
ENSG00000206967.1	6499	292.0
ENSG00000122477.12	14999	628.0
ENSG00000241568.3	16499	10157.0
ENSG00000201900.1	30499	11823.0
ENSG00000125995.16	41499	12226.0
ENSG00000251370.1	13999	255.5
ENSG00000269656.1	7999	884.0
ENSG00000203667.10	19499	31513.5
ENSG00000251018.2	5499	571.0
ENSG00000108797.12	3999	256.0
ENSG00000114757.19	11499	1168.5
ENSG00000204514.10	12999	1067.5
ENSG00000286078.1	8999	274.0
ENSG00000224078.15	9499	144.5
ENSG00000166902.5	14999	830.0
ENSG00000101246.20	4499	213.5
ENSG00000137809.17	13499	3245.5
ENSG00000158863.22	4499	123.5
ENSG00000103335.22	3999	344.0
ENSG00000102981.9	3999	396.0
ENSG00000203865.10	16499	3401.5
ENSG00000254307.2	11999	1879.0
ENSG00000241295.1	3999	47.5
ENSG00000121764.11	4999	346.0
ENSG00000228509.5	4499	85.0
ENSG00000033800.13	11499	1618.5
ENSG00000132155.11	4499	602.5
ENSG00000092758.18	5499	670.0
ENSG00000245311.2	21999	1024.5
ENSG00000273226.1	4499	25986.5
ENSG00000270760.1	3999	416.0
ENSG00000204642.14	8999	113.0
ENSG00000223815.2	10499	263.5
ENSG00000227543.5	7499	1347.5
ENSG00000283463.1	6999	449.0
ENSG00000187775.16	4499	253.0
ENSG00000203280.4	8499	66.0
ENSG00000215277.8	3999	188.5
ENSG00000091136.14	8499	2310.5
ENSG00000127588.5	9499	770.0
ENSG00000128191.16	5999	731.5
ENSG00000187699.10	9999	362.5
ENSG00000106624.11	8999	3366.0
ENSG00000287581.1	213999	29044.0
ENSG00000114021.12	25499	5509.5
ENSG00000121989.15	9999	1033.5
ENSG00000226754.2	9499	611.0
ENSG00000256222.2	7499	407.0
ENSG00000203362.2	6499	457.5
ENSG00000148291.10	14999	10095.5
ENSG00000141522.12	6499	184.5
ENSG00000011009.11	5499	1327.5
ENSG00000175130.7	6999	3534.5
ENSG00000162613.16	3999	481.0
ENSG00000118094.11	11999	988.5
ENSG00000106479.11	6499	99.5
ENSG00000196659.9	26499	5682.5
ENSG00000234943.2	4499	67.0
ENSG00000181322.14	8499	109.0
ENSG00000222046.2	5499	255.0
ENSG00000108255.7	39999	8363.0
ENSG00000200508.1	6999	73.0
ENSG00000238304.1	6999	156.0
ENSG00000266173.7	5499	109.0
ENSG00000249502.3	8999	1611.0
ENSG00000115464.14	6999	886.0
ENSG00000275263.1	33499	1133.0
ENSG00000255206.1	11499	420.5
ENSG00000260279.4	7499	356.0
ENSG00000143036.17	31999	13646.5
ENSG00000125170.11	19999	2766.0
ENSG00000196655.11	5499	551.0
ENSG00000068615.18	5499	1660.0
ENSG00000228302.2	4999	81.0
ENSG00000160226.16	28999	3590.0
ENSG00000150779.11	4499	942.0
ENSG00000143257.11	3999	185.5
ENSG00000133030.21	3999	133.0
ENSG00000207291.1	10999	1540.5
ENSG00000164465.18	10499	797.5
ENSG00000279067.1	9499	1665.0
ENSG00000279364.1	4499	1703.0
ENSG00000259654.1	13999	1592.5
ENSG00000204859.13	13499	1214.0
ENSG00000163072.15	10999	556.0
ENSG00000267342.1	4999	442.0
ENSG00000146243.14	4499	258.0
ENSG00000228737.2	10499	852.0
ENSG00000258430.1	24999	2075.0
ENSG00000273233.1	50499	15343.5
ENSG00000251143.1	3999	305.0
ENSG00000159596.7	5999	496.5
ENSG00000238444.1	4999	223.5
ENSG00000073598.6	11499	673.0
ENSG00000148950.11	6499	351.5
ENSG00000279530.2	5999	139.0
ENSG00000175029.17	6499	311.5
ENSG00000258048.1	17499	1122.0
ENSG00000233783.8	5499	1214.5
ENSG00000060237.17	6999	280.5
ENSG00000171385.9	5999	705.5
ENSG00000078814.15	11999	1642.5
ENSG00000283296.1	5999	1035.5
ENSG00000255629.1	4499	379.0
ENSG00000138382.15	4999	2079.5
ENSG00000229821.1	31499	4932.0
ENSG00000142606.16	3999	285.0
ENSG00000202514.1	6499	101.5
ENSG00000283237.1	5499	76.5
ENSG00000285812.1	3999	72.0
ENSG00000104450.12	50999	2478.5
ENSG00000151693.11	17499	2611.5
ENSG00000019582.15	42499	5217.0
ENSG00000204348.10	4499	376.5
ENSG00000253084.3	10499	813.5
ENSG00000272661.1	3999	317.0
ENSG00000083097.14	21999	1464.5
ENSG00000274403.1	9999	428.5
ENSG00000182902.14	6499	1061.0
ENSG00000253559.1	10499	1437.0
ENSG00000123737.12	9499	3833.0
ENSG00000269813.1	10999	2155.5
ENSG00000163810.11	12499	1278.0
ENSG00000280211.1	10999	2150.0
ENSG00000169962.5	13999	2033.0
ENSG00000101162.3	15499	7327.0
ENSG00000125741.4	7499	1273.0
ENSG00000222501.1	3999	122.5
ENSG00000073803.14	8999	710.0
ENSG00000101343.14	7999	1181.0
ENSG00000201458.1	46151	6046.0
ENSG00000235872.2	10499	877.5
ENSG00000134183.11	26499	7155.5
ENSG00000262831.1	4999	8803.5
ENSG00000239494.2	4499	51.5
ENSG00000168734.14	3999	106.0
ENSG00000266509.1	13499	655.0
ENSG00000100522.10	4499	667.5
ENSG00000064995.17	6999	753.0
ENSG00000279021.1	18999	1092.5
ENSG00000166886.13	15999	2327.0
ENSG00000154920.14	14499	7716.0
ENSG00000262633.2	6999	643.5
ENSG00000279605.1	14499	5567.0
ENSG00000228506.2	3999	276.0
ENSG00000171174.15	11499	1798.0
ENSG00000164823.11	32499	8267.5
ENSG00000124701.5	7999	640.5
ENSG00000261630.1	6999	70.5
ENSG00000271771.1	18499	601.5
ENSG00000163918.10	6499	11568.5
ENSG00000271380.1	11999	3001.0
ENSG00000165006.14	5999	435.0
ENSG00000236859.7	8499	1223.0
ENSG00000258302.2	6999	298.5
ENSG00000062524.16	3999	81.5
ENSG00000145214.14	3999	79.0
ENSG00000272991.1	20499	3260.5
ENSG00000164211.13	12499	1155.5
ENSG00000202532.1	12999	1935.0
ENSG00000237399.7	3999	101.0
ENSG00000253187.2	8499	436.0
ENSG00000223653.6	16999	213.0
ENSG00000166260.11	6999	288.0
ENSG00000257225.1	7999	232.5
ENSG00000197766.7	5499	128.5
ENSG00000259474.1	4999	193.0
ENSG00000146433.8	9499	2324.5
ENSG00000238171.1	16499	916.5
ENSG00000124140.13	29999	2212.0
ENSG00000103064.15	8999	325.0
ENSG00000179921.15	6499	2195.0
ENSG00000204420.10	5999	4784.0
ENSG00000158828.8	9999	5457.0
ENSG00000134940.13	4999	53.5
ENSG00000075886.11	9999	923.5
ENSG00000242764.3	15499	733.5
ENSG00000086712.13	25999	4971.0
ENSG00000260635.1	5499	121.5
ENSG00000113356.12	9999	636.5
ENSG00000285857.1	9499	2057.0
ENSG00000236472.1	5499	411.5
ENSG00000198553.9	23499	1606.0
ENSG00000183091.19	37999	12375.0
ENSG00000147121.16	3999	148.0
ENSG00000110925.6	12999	754.0
ENSG00000253015.1	40499	23306.0
ENSG00000087191.13	10999	2370.5
ENSG00000265739.1	4499	138.0
ENSG00000184436.11	13499	1094.0
ENSG00000197099.8	8499	866.0
ENSG00000253133.2	3999	151.5
ENSG00000272910.1	20499	2620.5
ENSG00000254662.1	7999	4078.0
ENSG00000254224.2	7499	539.0
ENSG00000158062.20	19999	2703.5
ENSG00000263624.1	6999	222.0
ENSG00000137822.12	12499	639.0
ENSG00000270159.1	5499	80.0
ENSG00000105928.16	10999	752.0
ENSG00000256377.6	7499	850.5
ENSG00000252174.1	5499	1661.0
ENSG00000152133.14	10999	3698.5
ENSG00000105875.14	12499	1060.0
ENSG00000258843.1	3999	37.5
ENSG00000234393.1	8999	90.5
ENSG00000273055.1	24009	4070.0
ENSG00000232153.3	19999	784.0
ENSG00000163001.11	5499	1613.5
ENSG00000106305.10	9999	1672.5
ENSG00000273946.1	4499	1083.5
ENSG00000287099.1	3999	44.0
ENSG00000075975.16	23499	1794.5
ENSG00000167136.7	7499	534.5
ENSG00000005448.16	16999	1505.0
ENSG00000006607.14	13999	2538.5
ENSG00000196152.10	5999	16364.0
ENSG00000123146.20	10999	3216.0
ENSG00000286223.1	32999	4802.5
ENSG00000227006.2	9999	723.0
ENSG00000144857.14	4499	151.5
ENSG00000162073.13	6999	714.0
ENSG00000269139.2	7499	821.0
ENSG00000277801.1	5499	651.5
ENSG00000260927.2	7999	879.5
ENSG00000279696.1	5999	730.5
ENSG00000241878.11	16499	462.5
ENSG00000254865.1	7499	74.5
ENSG00000286606.1	6499	359.0
ENSG00000165972.13	7999	1221.0
ENSG00000173638.19	11999	1628.5
ENSG00000279689.1	22999	2255.5
ENSG00000188107.14	19999	2092.5
ENSG00000253024.1	3999	50.0
ENSG00000164638.10	4999	362.0
ENSG00000136827.12	8999	1234.0
ENSG00000252915.1	4499	2606.0
ENSG00000144130.11	7999	215.5
ENSG00000089723.10	4499	400.0
ENSG00000119231.11	7499	2647.0
ENSG00000279088.1	4499	32.5
ENSG00000116771.6	6499	627.0
ENSG00000258199.1	8499	15332.0
ENSG00000255966.1	15999	3740.5
ENSG00000259250.1	5999	3970.0
ENSG00000147789.15	5999	408.0
ENSG00000116641.17	17999	8063.5
ENSG00000258424.1	4499	576.0
ENSG00000170873.18	6499	1900.0
ENSG00000276988.1	4999	661.5
ENSG00000166086.12	9999	888.0
ENSG00000092871.16	4999	406.0
ENSG00000197183.14	15999	2795.5
ENSG00000167978.17	4499	550.5
ENSG00000235298.1	4499	4478.0
ENSG00000270820.6	4999	1689.0
ENSG00000280416.1	9999	1324.5
ENSG00000268189.2	4499	110.5
ENSG00000103051.19	4499	124.0
ENSG00000011295.16	4499	151.5
ENSG00000252750.1	13499	230.5
ENSG00000273489.1	27999	2915.5
ENSG00000254879.1	17999	276.5
ENSG00000100201.21	4499	1092.5
ENSG00000229751.1	37999	838.0
ENSG00000230530.2	4499	70.0
ENSG00000205022.9	5499	657.5
ENSG00000266852.2	13499	1996.0
ENSG00000287600.1	4499	535.0
ENSG00000279172.1	4499	111.5
ENSG00000136044.12	40999	3420.0
ENSG00000155666.11	5499	362.5
ENSG00000285864.1	4999	595.0
ENSG00000140521.14	8999	703.5
