ID	Length	SRR7537187_sorted	SRR7537190_sorted	SRR7537192_sorted
ENSG00000269984.1	4999	0.88	1.05	1.63
ENSG00000137700.18	6499	5.86	6.31	4.57
ENSG00000001630.17	7499	1.23	1.05	1.04
ENSG00000168676.11	11499	4.92	4.46	1.96
ENSG00000092200.12	4999	6.64	5.85	14.73
ENSG00000235862.2	15499	5.57	2.08	0.49
ENSG00000236859.7	8499	2.28	3.13	4.79
ENSG00000104679.11	35999	10.71	7.61	10.6
ENSG00000159147.18	15999	4.85	8.64	11.79
ENSG00000262831.1	16999	57.82	45.31	23.7
ENSG00000260190.1	13999	0.85	0.96	2.96
ENSG00000168096.14	34999	1.1	1.8	1.02
ENSG00000111364.16	6999	3.84	3.97	6.46
ENSG00000287562.1	7999	1.42	1.13	0.01
ENSG00000280620.1	8499	0.18	0.5	0.31
ENSG00000269365.2	20999	0.85	0.96	0.78
ENSG00000007520.4	5999	1.29	0.23	0.09
ENSG00000146830.10	5999	14.43	19.87	17.94
ENSG00000212205.1	4499	0.34	0.45	0.26
ENSG00000270760.1	4499	5.9	8.2	3.09
ENSG00000101413.11	37499	17.26	10.67	10.96
ENSG00000287934.1	12999	1.3	1.7	1.46
ENSG00000280109.3	7999	0.95	2.22	0.58
ENSG00000272558.1	17499	2.41	2.01	0.95
ENSG00000204420.10	9999	45.24	38.55	28.73
ENSG00000142453.11	5499	5.46	7.02	3.9
ENSG00000246731.3	6499	30.03	28.74	41.86
ENSG00000099904.15	7499	0.02	1.16	0.14
ENSG00000198682.13	12999	4.25	3.36	4.76
ENSG00000108797.12	5499	2.05	1.7	1.68
ENSG00000212240.1	8499	2.4	3.18	2.03
ENSG00000279172.1	8499	0.83	0.83	0.61
ENSG00000276096.1	4999	0.26	0.57	0.34
ENSG00000069764.9	8999	3.59	4.89	4.44
ENSG00000142082.15	7499	14.89	15.32	11.81
ENSG00000171262.11	20499	3.08	2.15	0.1
ENSG00000228509.5	4499	0.25	0.27	0.63
ENSG00000245311.2	21999	0.35	0.58	1.55
ENSG00000167978.17	4499	7.55	6.54	4.07
ENSG00000180304.14	7499	1.87	2.33	2.71
ENSG00000173349.5	15999	1.49	1.6	2.6
ENSG00000269987.1	7499	5.89	10.09	10.83
ENSG00000235790.7	6499	0.51	0.56	0.16
ENSG00000196588.16	9999	3.32	3.68	2.62
ENSG00000257221.4	25999	11.17	13.93	15.03
ENSG00000171202.7	8999	6.08	4.39	8.63
ENSG00000229751.1	37999	0.95	0.0	0.73
ENSG00000254960.2	7999	0.46	0.43	0.3
ENSG00000273090.1	7499	12.61	5.87	2.15
ENSG00000053438.11	4499	0.69	1.14	1.15
