ID	Length	SRR7537187_sorted	SRR7537190_sorted	SRR7537192_sorted
ENSG00000265618.1	3999	348.5	307.0	417.5
ENSG00000180304.14	7499	544.0	414.0	610.5
ENSG00000197301.7	26999	45.0	502.5	235.0
ENSG00000242902.1	19999	1279.0	1848.0	17734.0
ENSG00000162144.9	3999	289.5	160.0	137.0
ENSG00000274363.1	5499	1259.0	919.0	1332.0
ENSG00000127419.17	13499	924.5	802.0	609.5
ENSG00000228737.2	10499	1402.0	451.0	852.0
ENSG00000174171.6	11999	1662.0	1574.0	1628.0
ENSG00000279707.1	4999	869.0	488.0	508.5
ENSG00000252645.1	6499	268.0	336.0	612.5
ENSG00000099889.14	27999	3289.5	2347.5	2000.5
ENSG00000259250.1	47999	37249.5	7104.0	6885.5
ENSG00000149243.15	22999	16251.5	10466.5	13443.5
ENSG00000164764.11	18999	392.0	331.0	1355.5
ENSG00000007866.21	5499	15460.0	7705.0	9363.5
ENSG00000164068.16	7999	895.0	999.0	1142.5
ENSG00000264573.2	12499	5597.5	2441.5	5184.0
ENSG00000139537.11	10499	4461.5	3690.5	2134.0
ENSG00000212013.1	21608	847.0	90.5	121.5
ENSG00000242861.1	4999	215.0	323.5	342.5
ENSG00000168676.11	11499	2200.5	1215.0	678.0
ENSG00000279159.1	8999	394.5	220.0	97.0
ENSG00000103852.13	4499	110.0	260.0	1232.5
ENSG00000200779.1	33999	2942.5	1537.0	2863.5
ENSG00000259113.1	4999	55.5	47.5	34.0
ENSG00000011523.14	35999	5663.0	4234.5	4744.5
ENSG00000250133.2	7999	201.0	272.0	53.0
ENSG00000137266.14	9999	476.5	300.0	482.0
ENSG00000118900.14	3999	496.5	333.0	24.0
ENSG00000251330.3	8999	699.5	252.5	347.5
ENSG00000212864.3	7999	395.0	298.0	760.0
ENSG00000207362.1	5499	74.0	83.5	237.0
ENSG00000117335.19	14999	343.0	180.0	239.0
ENSG00000135052.16	13499	1019.0	518.0	1660.0
ENSG00000172209.6	11499	120.5	86.5	181.5
ENSG00000285803.1	8499	137.0	184.0	214.5
