Tag Length (Average tag length = 68.103632)	Fraction of Tags
0	0.000000
1	0.000660
2	0.000649
3	0.000673
4	0.000652
5	0.000655
6	0.000745
7	0.000692
8	0.000735
9	0.000720
10	0.003156
11	0.003402
12	0.003333
13	0.003047
14	0.003061
15	0.003309
16	0.003193
17	0.003105
18	0.003420
19	0.003215
20	0.003155
21	0.003331
22	0.003169
23	0.003078
24	0.003233
25	0.003254
26	0.003245
27	0.003442
28	0.003315
29	0.003263
30	0.003442
31	0.003193
32	0.003168
33	0.003351
34	0.003186
35	0.003102
36	0.003355
37	0.003415
38	0.003214
39	0.003279
40	0.003155
41	0.003134
42	0.003411
43	0.003231
44	0.003344
45	0.003465
46	0.003300
47	0.003284
48	0.003445
49	0.003289
50	0.003266
51	0.003642
52	0.003596
53	0.003672
54	0.003911
55	0.003669
56	0.003720
57	0.003875
58	0.003732
59	0.003696
60	0.003920
61	0.003756
62	0.003800
63	0.003872
64	0.004015
65	0.004312
66	0.004200
67	0.003043
68	0.004178
69	0.005080
70	0.005377
71	0.005723
72	0.006546
73	0.006576
74	0.017347
75	0.020794
76	0.724011
