Gene ID	Gene Type
ENSG00000278267.1	miRNA
ENSG00000243485.5	lncRNA
ENSG00000284332.1	miRNA
ENSG00000237613.2	lncRNA
ENSG00000186092.6	protein_coding
ENSG00000238009.6	lncRNA
ENSG00000239945.1	lncRNA
ENSG00000239906.1	lncRNA
ENSG00000241860.7	lncRNA
ENSG00000222623.1	snRNA
ENSG00000241599.1	lncRNA
ENSG00000273874.1	miRNA
ENSG00000286448.1	lncRNA
ENSG00000236601.2	lncRNA
ENSG00000284733.1	protein_coding
ENSG00000278757.1	snRNA
ENSG00000235146.2	lncRNA
ENSG00000278791.1	miRNA
ENSG00000284662.1	protein_coding
ENSG00000223181.1	snRNA
ENSG00000229905.1	lncRNA
ENSG00000237491.10	lncRNA
ENSG00000177757.2	lncRNA
ENSG00000228794.9	lncRNA
ENSG00000225880.5	lncRNA
ENSG00000230368.2	lncRNA
ENSG00000272438.1	lncRNA
ENSG00000230699.2	lncRNA
ENSG00000241180.1	lncRNA
ENSG00000223764.2	lncRNA
ENSG00000187634.12	protein_coding
ENSG00000188976.11	protein_coding
ENSG00000187961.14	protein_coding
ENSG00000187583.10	protein_coding
ENSG00000187642.9	protein_coding
ENSG00000272512.1	lncRNA
ENSG00000188290.10	protein_coding
ENSG00000187608.10	protein_coding
ENSG00000224969.1	lncRNA
ENSG00000188157.15	protein_coding
ENSG00000242590.1	lncRNA
ENSG00000273443.1	lncRNA
ENSG00000237330.3	protein_coding
ENSG00000131591.17	protein_coding
ENSG00000285812.1	lncRNA
ENSG00000223823.1	lncRNA
ENSG00000207730.3	miRNA
ENSG00000207607.3	miRNA
ENSG00000198976.1	miRNA
ENSG00000272141.1	lncRNA
ENSG00000205231.1	lncRNA
ENSG00000162571.13	protein_coding
ENSG00000186891.14	protein_coding
ENSG00000186827.11	protein_coding
ENSG00000078808.17	protein_coding
ENSG00000176022.7	protein_coding
ENSG00000184163.3	protein_coding
ENSG00000260179.1	lncRNA
ENSG00000160087.20	protein_coding
ENSG00000230415.1	lncRNA
ENSG00000162572.20	protein_coding
ENSG00000131584.19	protein_coding
ENSG00000278073.1	miRNA
ENSG00000169972.12	protein_coding
ENSG00000127054.20	protein_coding
ENSG00000283712.1	miRNA
ENSG00000240731.1	lncRNA
ENSG00000224051.7	protein_coding
ENSG00000169962.5	protein_coding
ENSG00000107404.20	protein_coding
ENSG00000284372.1	miRNA
ENSG00000162576.16	protein_coding
ENSG00000175756.13	protein_coding
ENSG00000221978.12	protein_coding
ENSG00000224870.7	lncRNA
ENSG00000242485.6	protein_coding
ENSG00000264293.2	misc_RNA
ENSG00000272455.1	lncRNA
ENSG00000235098.8	protein_coding
ENSG00000225905.1	lncRNA
ENSG00000205116.3	protein_coding
ENSG00000225285.1	lncRNA
ENSG00000179403.12	protein_coding
ENSG00000215915.9	protein_coding
ENSG00000160072.19	protein_coding
ENSG00000197785.13	protein_coding
ENSG00000205090.9	protein_coding
ENSG00000160075.12	protein_coding
ENSG00000215014.5	lncRNA
ENSG00000228594.4	protein_coding
ENSG00000286989.1	lncRNA
ENSG00000272106.1	lncRNA
ENSG00000197530.12	protein_coding
ENSG00000189409.13	protein_coding
ENSG00000248333.8	protein_coding
ENSG00000272004.1	lncRNA
ENSG00000189339.11	protein_coding
ENSG00000008128.23	protein_coding
ENSG00000268575.1	lncRNA
ENSG00000215790.7	protein_coding
ENSG00000008130.15	protein_coding
ENSG00000078369.18	protein_coding
ENSG00000231050.1	lncRNA
ENSG00000169885.10	protein_coding
ENSG00000178821.13	protein_coding
ENSG00000142609.18	protein_coding
ENSG00000233542.2	lncRNA
ENSG00000187730.9	protein_coding
ENSG00000226969.1	lncRNA
ENSG00000067606.17	protein_coding
ENSG00000271806.1	lncRNA
ENSG00000182873.5	lncRNA
ENSG00000162585.17	protein_coding
ENSG00000234396.3	lncRNA
ENSG00000157933.10	protein_coding
ENSG00000287356.1	lncRNA
ENSG00000116151.14	protein_coding
ENSG00000272161.1	lncRNA
ENSG00000272420.1	lncRNA
ENSG00000157916.20	protein_coding
ENSG00000157911.10	protein_coding
ENSG00000149527.18	protein_coding
ENSG00000224387.1	lncRNA
ENSG00000229393.1	lncRNA
ENSG00000157881.14	protein_coding
ENSG00000197921.6	protein_coding
ENSG00000272449.2	lncRNA
ENSG00000238164.6	lncRNA
ENSG00000157873.17	protein_coding
ENSG00000225931.3	TEC
ENSG00000228037.1	lncRNA
ENSG00000157870.16	protein_coding
ENSG00000142606.16	protein_coding
ENSG00000237058.1	lncRNA
ENSG00000215912.12	protein_coding
ENSG00000285945.1	lncRNA
ENSG00000283259.1	lncRNA
ENSG00000233234.1	lncRNA
ENSG00000287396.1	lncRNA
ENSG00000231630.1	lncRNA
ENSG00000284745.1	lncRNA
ENSG00000169717.6	protein_coding
ENSG00000177133.11	lncRNA
ENSG00000142611.17	protein_coding
ENSG00000283572.1	miRNA
ENSG00000226286.1	lncRNA
ENSG00000279839.1	TEC
ENSG00000272235.1	lncRNA
ENSG00000287828.1	lncRNA
ENSG00000286518.1	lncRNA
ENSG00000130762.15	protein_coding
ENSG00000272088.1	lncRNA
ENSG00000162591.16	protein_coding
ENSG00000207776.1	miRNA
ENSG00000238260.1	lncRNA
ENSG00000158109.15	protein_coding
ENSG00000116213.16	protein_coding
ENSG00000078900.15	protein_coding
ENSG00000227589.1	lncRNA
ENSG00000235131.1	lncRNA
ENSG00000276189.1	misc_RNA
ENSG00000162592.10	protein_coding
ENSG00000235169.8	protein_coding
ENSG00000130764.10	protein_coding
ENSG00000266075.2	misc_RNA
ENSG00000272153.1	lncRNA
ENSG00000116198.13	protein_coding
ENSG00000169598.15	protein_coding
ENSG00000198912.11	protein_coding
ENSG00000236423.6	lncRNA
ENSG00000233304.7	lncRNA
ENSG00000226374.3	lncRNA
ENSG00000284668.2	lncRNA
ENSG00000284703.1	lncRNA
ENSG00000235054.4	lncRNA
ENSG00000284694.1	lncRNA
ENSG00000227169.2	lncRNA
ENSG00000232596.3	lncRNA
ENSG00000196581.10	protein_coding
ENSG00000287586.1	lncRNA
ENSG00000284739.1	lncRNA
ENSG00000284674.1	lncRNA
ENSG00000231510.1	lncRNA
ENSG00000284616.1	lncRNA
ENSG00000284692.2	lncRNA
ENSG00000284666.1	lncRNA
ENSG00000260972.1	lncRNA
ENSG00000236948.2	lncRNA
ENSG00000264341.1	miRNA
ENSG00000264101.1	miRNA
ENSG00000131697.18	protein_coding
ENSG00000069424.15	protein_coding
ENSG00000116254.18	protein_coding
ENSG00000285629.1	protein_coding
ENSG00000116251.11	protein_coding
ENSG00000226944.1	lncRNA
ENSG00000158286.13	protein_coding
ENSG00000116237.16	protein_coding
ENSG00000225077.3	lncRNA
ENSG00000173673.7	protein_coding
ENSG00000158292.7	protein_coding
ENSG00000097021.19	protein_coding
ENSG00000271746.1	lncRNA
ENSG00000069812.11	protein_coding
ENSG00000187017.17	protein_coding
ENSG00000265392.1	miRNA
ENSG00000231868.1	lncRNA
ENSG00000215788.10	protein_coding
ENSG00000171680.21	protein_coding
ENSG00000162408.11	protein_coding
ENSG00000253022.1	snRNA
ENSG00000173662.21	protein_coding
ENSG00000204859.13	protein_coding
ENSG00000162413.16	protein_coding
ENSG00000116273.6	protein_coding
ENSG00000041988.15	protein_coding
ENSG00000007923.16	protein_coding
ENSG00000228750.7	lncRNA
ENSG00000284744.1	lncRNA
ENSG00000237436.1	lncRNA
ENSG00000171735.19	protein_coding
ENSG00000237365.1	lncRNA
