Gene ID	Transcript ID
ENSG00000000003.14	ENST00000612152.4
ENSG00000000005.6	ENST00000373031.5
ENSG00000000419.12	ENST00000494752.1
ENSG00000000457.14	ENST00000367771.11
ENSG00000000460.17	ENST00000286031.10
ENSG00000000938.13	ENST00000475472.5
ENSG00000000971.15	ENST00000630130.2
ENSG00000001036.13	ENST00000451668.1
ENSG00000001084.13	ENST00000505294.5
ENSG00000001167.14	ENST00000341376.10
ENSG00000001460.18	ENST00000492753.1
ENSG00000001461.17	ENST00000488155.1
ENSG00000001497.16	ENST00000484069.1
ENSG00000001561.7	ENST00000321037.5
ENSG00000001617.12	ENST00000426511.5
ENSG00000001626.15	ENST00000610149.1
ENSG00000001629.10	ENST00000442183.1
ENSG00000001630.17	ENST00000482924.1
ENSG00000001631.15	ENST00000444960.5
ENSG00000002016.17	ENST00000542297.1
ENSG00000002330.13	ENST00000493798.1
ENSG00000002549.12	ENST00000507960.1
ENSG00000002586.20	ENST00000647297.1
ENSG00000002586.20_PAR_Y	ENST00000647297.1_PAR_Y
ENSG00000002587.10	ENST00000510712.1
ENSG00000002726.20	ENST00000493429.5
ENSG00000002745.13	ENST00000222462.3
ENSG00000002746.15	ENST00000429529.1
ENSG00000002822.15	ENST00000429779.1
ENSG00000002834.18	ENST00000579123.1
ENSG00000002919.14	ENST00000580875.1
ENSG00000002933.9	ENST00000474166.1
ENSG00000003056.8	ENST00000544193.1
ENSG00000003096.14	ENST00000545703.5
ENSG00000003137.8	ENST00000474509.1
ENSG00000003147.19	ENST00000476942.1
ENSG00000003249.13	ENST00000623401.1
ENSG00000003393.15	ENST00000489440.5
ENSG00000003400.14	ENST00000492363.5
ENSG00000003402.20	ENST00000470664.1
ENSG00000003436.16	ENST00000392365.5
ENSG00000003509.16	ENST00000441905.1
ENSG00000003756.16	ENST00000461242.1
ENSG00000003987.14	ENST00000519590.5
ENSG00000003989.17	ENST00000494857.5
ENSG00000004059.11	ENST00000459680.1
ENSG00000004139.14	ENST00000585453.5
ENSG00000004142.12	ENST00000540200.6
ENSG00000004399.12	ENST00000324093.8
ENSG00000004455.16	ENST00000482191.1
ENSG00000004468.13	ENST00000511430.1
ENSG00000004478.8	ENST00000543037.1
ENSG00000004487.16	ENST00000602503.1
ENSG00000004534.15	ENST00000446471.1
ENSG00000004660.14	ENST00000573483.1
ENSG00000004700.16	ENST00000444129.7
ENSG00000004766.17	ENST00000477572.1
ENSG00000004776.13	ENST00000587965.1
ENSG00000004777.18	ENST00000601474.5
ENSG00000004779.10	ENST00000562133.5
ENSG00000004799.8	ENST00000473301.1
ENSG00000004809.14	ENST00000460159.1
ENSG00000004838.14	ENST00000490675.5
ENSG00000004846.16	ENST00000441315.1
ENSG00000004848.8	ENST00000379044.5
ENSG00000004864.13	ENST00000494085.1
ENSG00000004866.20	ENST00000438863.5
ENSG00000004897.12	ENST00000528147.1
ENSG00000004939.15	ENST00000399246.3
ENSG00000004948.15	ENST00000423724.5
ENSG00000004961.15	ENST00000380762.5
ENSG00000004975.12	ENST00000576840.5
ENSG00000005001.10	ENST00000577177.1
ENSG00000005007.12	ENST00000600689.1
ENSG00000005020.13	ENST00000481204.5
ENSG00000005022.6	ENST00000475354.1
ENSG00000005059.16	ENST00000494604.1
ENSG00000005073.5	ENST00000517402.1
ENSG00000005075.15	ENST00000292614.9
ENSG00000005100.13	ENST00000575153.5
ENSG00000005102.13	ENST00000549132.1
ENSG00000005108.16	ENST00000408005.2
ENSG00000005156.11	ENST00000378526.8
ENSG00000005175.10	ENST00000432584.7
ENSG00000005187.12	ENST00000567006.1
ENSG00000005189.19	ENST00000568334.1
ENSG00000005194.15	ENST00000564885.1
ENSG00000005206.17	ENST00000622308.4
ENSG00000005238.19	ENST00000605392.1
ENSG00000005243.10	ENST00000585182.1
ENSG00000005249.13	ENST00000488792.1
ENSG00000005302.18	ENST00000648692.1
ENSG00000005339.14	ENST00000571763.5
ENSG00000005379.17	ENST00000343736.9
ENSG00000005381.7	ENST00000581022.1
ENSG00000005421.8	ENST00000462594.1
ENSG00000005436.13	ENST00000470285.1
ENSG00000005448.16	ENST00000482605.1
ENSG00000005469.11	ENST00000488850.1
ENSG00000005471.17	ENST00000467983.1
ENSG00000005483.21	ENST00000473063.1
ENSG00000005486.17	ENST00000468644.5
ENSG00000005513.10	ENST00000566034.1
ENSG00000005700.15	ENST00000508381.1
ENSG00000005801.18	ENST00000529789.5
ENSG00000005810.18	ENST00000485061.2
ENSG00000005812.11	ENST00000485797.2
ENSG00000005844.17	ENST00000568987.1
ENSG00000005882.11	ENST00000503176.5
ENSG00000005884.18	ENST00000515147.1
ENSG00000005889.15	ENST00000539115.5
ENSG00000005893.15	ENST00000486593.5
ENSG00000005961.18	ENST00000592944.1
ENSG00000005981.13	ENST00000428113.5
ENSG00000006007.12	ENST00000563645.1
ENSG00000006015.17	ENST00000601736.1
ENSG00000006016.11	ENST00000594325.1
ENSG00000006025.12	ENST00000613735.4
ENSG00000006042.12	ENST00000583437.2
ENSG00000006047.13	ENST00000571834.5
ENSG00000006059.3	ENST00000007735.3
ENSG00000006062.17	ENST00000586644.2
ENSG00000006071.14	ENST00000531891.1
ENSG00000006116.3	ENST00000005284.3
ENSG00000006118.14	ENST00000535480.1
ENSG00000006125.18	ENST00000589774.5
ENSG00000006128.12	ENST00000495916.1
ENSG00000006194.10	ENST00000574674.1
ENSG00000006210.7	ENST00000565912.1
ENSG00000006282.21	ENST00000505336.1
ENSG00000006283.18	ENST00000359106.10
ENSG00000006327.13	ENST00000573001.5
ENSG00000006377.11	ENST00000555308.1
ENSG00000006432.15	ENST00000555993.6
ENSG00000006451.8	ENST00000468201.1
ENSG00000006453.14	ENST00000480580.1
ENSG00000006459.11	ENST00000397560.7
ENSG00000006468.14	ENST00000493831.1
ENSG00000006530.18	ENST00000494053.1
ENSG00000006534.16	ENST00000527514.1
ENSG00000006555.11	ENST00000371276.9
ENSG00000006576.16	ENST00000424760.5
ENSG00000006606.8	ENST00000394905.2
ENSG00000006607.14	ENST00000412332.1
ENSG00000006611.16	ENST00000624811.1
ENSG00000006625.18	ENST00000426081.5
ENSG00000006634.8	ENST00000495067.1
ENSG00000006638.11	ENST00000589966.1
ENSG00000006652.14	ENST00000417662.1
ENSG00000006659.13	ENST00000601802.1
ENSG00000006695.12	ENST00000429152.6
ENSG00000006704.10	ENST00000455841.6
ENSG00000006712.15	ENST00000595379.1
ENSG00000006715.16	ENST00000439468.1
ENSG00000006740.17	ENST00000584974.1
ENSG00000006744.19	ENST00000465825.5
ENSG00000006747.15	ENST00000436854.1
ENSG00000006756.16	ENST00000458014.1
ENSG00000006757.12	ENST00000442940.1
ENSG00000006788.14	ENST00000621918.1
ENSG00000006831.10	ENST00000540974.1
ENSG00000006837.12	ENST00000518990.5
ENSG00000007001.12	ENST00000489438.1
ENSG00000007038.11	ENST00000577043.1
ENSG00000007047.15	ENST00000587566.5
ENSG00000007062.11	ENST00000502943.1
ENSG00000007080.11	ENST00000602080.1
ENSG00000007129.18	ENST00000632983.1
ENSG00000007168.13	ENST00000610190.1
ENSG00000007171.17	ENST00000646938.1
ENSG00000007174.18	ENST00000585197.1
ENSG00000007202.15	ENST00000581064.1
ENSG00000007216.14	ENST00000579281.5
ENSG00000007237.18	ENST00000584146.6
ENSG00000007255.10	ENST00000592647.1
ENSG00000007264.15	ENST00000619596.4
ENSG00000007306.15	ENST00000599715.1
ENSG00000007312.12	ENST00000583260.1
ENSG00000007314.12	ENST00000584310.1
ENSG00000007341.19	ENST00000477682.1
ENSG00000007350.17	ENST00000439635.5
ENSG00000007372.23	ENST00000639386.2
ENSG00000007376.8	ENST00000561734.5
ENSG00000007384.15	ENST00000448893.1
ENSG00000007392.16	ENST00000495349.5
ENSG00000007402.11	ENST00000483620.1
ENSG00000007516.13	ENST00000566162.1
ENSG00000007520.4	ENST00000007390.3
ENSG00000007541.16	ENST00000634341.1
ENSG00000007545.15	ENST00000467286.1
ENSG00000007866.21	ENST00000402886.8
ENSG00000007908.16	ENST00000367777.5
ENSG00000007923.16	ENST00000465508.5
ENSG00000007933.13	ENST00000479749.1
ENSG00000007944.15	ENST00000356840.8
