ID	Length	SRR7537187_sorted	SRR7537190_sorted	SRR7537192_sorted
ENSG00000115738.10	14999	50.0	26.5	37.5
ENSG00000139835.13	11486	0.0	0.0	0.0
ENSG00000255843.1	3483	6.0	5.0	10.0
ENSG00000253930.1	14999	417.5	288.5	97.0
ENSG00000256943.1	14999	1.0	0.0	59.5
ENSG00000087245.13	14999	0.0	0.0	0.0
ENSG00000276259.1	262	2.0	2.5	2.0
ENSG00000131831.18	14999	2.0	0.0	0.0
ENSG00000215241.4	4432	80.5	9.5	8.0
ENSG00000065154.11	8421	0.0	0.0	0.0
ENSG00000180817.12	4138	0.0	0.0	1.0
ENSG00000244479.7	13351	113.0	250.0	127.5
ENSG00000128731.17	14999	0.5	2.0	3.0
ENSG00000197619.14	1177	0.0	0.0	0.0
ENSG00000226655.1	14999	1.0	0.0	1.0
ENSG00000246225.7	5107	185.0	125.0	240.0
ENSG00000145476.16	5966	6.5	1.0	2.0
ENSG00000145979.18	9414	0.0	0.0	1.0
ENSG00000027869.11	7399	0.0	0.0	0.0
ENSG00000234169.1	14999	0.0	0.0	0.0
ENSG00000109189.13	14999	1072.0	324.0	280.0
ENSG00000177873.13	2508	0.5	0.0	0.0
ENSG00000262879.6	5458	0.0	0.0	0.0
ENSG00000286394.1	14999	0.0	2.0	0.0
ENSG00000167981.7	13624	123.0	122.5	163.5
ENSG00000230013.2	11036	4.0	4.0	0.0
ENSG00000130822.15	3492	2632.0	994.0	625.5
ENSG00000174171.6	14540	47.0	39.5	33.0
ENSG00000264982.1	14999	159.0	56.0	16.0
ENSG00000129197.14	10766	285.5	149.0	569.5
ENSG00000101057.16	6240	0.0	0.0	0.0
ENSG00000174844.14	3411	0.0	0.0	0.0
ENSG00000252993.1	14971	6.0	4.0	9.0
ENSG00000153071.15	14999	0.0	0.0	0.0
ENSG00000140519.14	2438	1.0	5.5	0.0
ENSG00000269791.5	14999	0.0	0.0	0.0
ENSG00000188095.6	5317	2.0	2.0	1.0
ENSG00000286256.2	1435	5.5	3.5	5.5
ENSG00000160593.18	197	0.0	0.0	0.0
ENSG00000274656.1	14999	0.0	0.0	2.0
ENSG00000100300.18	6944	0.0	1.0	0.0
ENSG00000279057.1	7095	9.0	15.0	12.0
ENSG00000149451.17	1240	0.0	0.0	0.0
ENSG00000163191.6	11743	2.0	1.0	1.0
ENSG00000167799.10	120	1.0	0.0	0.0
ENSG00000199085.3	14999	0.0	0.0	0.0
ENSG00000280446.1	14999	0.0	0.0	0.0
ENSG00000133401.16	14999	0.0	0.0	0.0
ENSG00000236837.1	14999	0.0	0.0	0.0
ENSG00000114735.9	14999	253.0	202.5	36.0
