ID	Length	SRR7537187_sorted	SRR7537190_sorted	SRR7537192_sorted
ENSG00000067048.17	14999	0.0	0.0	0.0
ENSG00000206703.1	14999	129.5	243.5	105.5
ENSG00000116774.12	14999	0.0	0.0	1.0
ENSG00000205174.4	14999	1.0	15.0	22.0
ENSG00000223202.1	14999	18.0	1.0	0.0
ENSG00000255321.1	8386	86.5	86.0	164.0
ENSG00000258400.1	3081	7.5	8.0	5.0
ENSG00000160803.8	1448	0.0	0.0	0.0
ENSG00000121351.7	14999	1.0	1.0	0.0
ENSG00000255378.1	14999	0.0	0.0	0.0
ENSG00000287563.1	7423	0.0	0.0	0.0
ENSG00000264765.1	8248	0.0	0.0	0.0
ENSG00000188316.14	14999	166.0	143.0	230.5
ENSG00000086666.19	1364	0.0	0.0	0.0
ENSG00000120699.13	14999	758.5	498.0	782.0
ENSG00000127252.6	6500	0.0	0.0	0.0
ENSG00000132600.16	14999	1.0	0.0	7.5
ENSG00000237768.2	8787	182.0	114.0	117.5
ENSG00000155511.18	14999	2.0	0.0	0.0
ENSG00000262372.1	14999	144.0	124.0	155.5
ENSG00000071242.12	5449	0.0	0.0	0.0
ENSG00000163041.11	526	0.0	0.0	0.0
ENSG00000197057.9	14999	1.0	0.0	1.0
ENSG00000286326.1	168	0.0	0.0	0.0
ENSG00000207244.1	10145	0.0	0.0	0.0
ENSG00000260878.1	14999	0.0	0.0	0.0
ENSG00000265514.2	14999	0.0	0.0	0.0
ENSG00000135365.15	169	0.0	0.0	0.0
ENSG00000186572.2	6768	0.0	0.0	0.0
ENSG00000212377.1	14999	0.0	1.0	0.0
ENSG00000233277.1	3126	0.0	0.0	0.0
ENSG00000232677.8	14999	0.0	0.0	0.0
ENSG00000238901.1	14999	7.0	9.0	27.0
ENSG00000261416.1	14999	0.0	0.0	1.0
ENSG00000140939.14	2138	3.0	2.0	0.0
ENSG00000279561.2	7452	0.0	1.0	1.0
ENSG00000104237.10	14999	0.0	0.0	0.0
ENSG00000200764.1	4492	0.0	0.0	0.0
ENSG00000251601.1	14999	0.0	0.0	0.0
ENSG00000254651.1	14999	0.0	0.0	1.0
ENSG00000255845.1	14999	0.0	0.0	0.0
ENSG00000224063.6	14999	1.0	0.0	0.0
ENSG00000267872.1	5817	0.0	0.0	0.0
ENSG00000238043.1	14999	0.0	0.0	0.0
ENSG00000276790.1	3368	57.0	63.0	23.0
ENSG00000283558.1	1048	21.5	11.5	12.0
ENSG00000287066.1	14999	3.0	29.5	29.0
ENSG00000154721.15	2334	352.0	351.0	446.0
ENSG00000212273.1	14999	0.0	0.0	1.0
ENSG00000166123.14	10898	3.0	2.0	0.0
ENSG00000177144.7	14999	0.0	0.0	0.0
ENSG00000287697.1	11363	33.0	62.0	31.0
ENSG00000125492.10	14999	69.0	53.5	122.0
ENSG00000252373.1	14999	3.0	0.0	2.0
ENSG00000226419.8	5379	1.0	1.0	0.0
ENSG00000130413.15	14999	0.0	0.0	0.0
ENSG00000204954.10	14999	1054.0	461.5	322.5
ENSG00000228927.10	14999	0.0	0.0	0.0
ENSG00000277919.1	14999	0.0	0.0	1.0
ENSG00000164163.11	14999	484.5	460.0	626.5
ENSG00000197415.12	4863	2.0	1.0	3.0
ENSG00000166295.9	9353	3.0	1.0	0.0
ENSG00000250124.1	14999	0.0	0.0	0.0
ENSG00000152520.14	14999	2.0	0.0	0.0
ENSG00000133454.15	14999	0.0	0.0	0.0
ENSG00000251632.1	14999	0.0	0.0	0.0
ENSG00000042429.12	885	0.0	1.0	0.0
ENSG00000244953.1	4280	5.0	0.0	1.5
ENSG00000141738.14	14999	1.0	14.5	3.0
ENSG00000155096.14	14999	85.5	33.0	84.0
ENSG00000101004.15	14999	27.0	17.5	173.0
ENSG00000261182.1	14999	0.0	0.0	0.0
ENSG00000165186.12	14999	0.0	0.0	0.0
ENSG00000105258.9	14999	20.0	65.5	510.5
ENSG00000199404.1	14999	0.0	0.0	0.0
ENSG00000177614.11	7531	0.0	0.0	0.0
ENSG00000261039.3	761	0.0	1.0	1.0
ENSG00000196659.9	14999	1282.5	690.5	1729.0
ENSG00000286949.1	1114	15.0	14.5	5.0
ENSG00000258858.1	780	0.0	0.0	0.0
ENSG00000234636.2	14999	1.0	0.0	0.5
ENSG00000254511.1	14999	0.0	0.0	0.0
ENSG00000281248.1	14999	0.0	0.0	0.0
ENSG00000207283.1	14999	4.0	0.0	2.0
ENSG00000155265.11	14999	61.0	42.0	1.0
ENSG00000148925.10	14999	234.5	109.0	216.0
