name	Unique Positions	Total Tags
genome	28408687	38866473.0
fragmentLengthEstimate=75		
peakSizeEstimate=75		
tagsPerBP=0.012556		
averageTagsPerPosition=0.962		
medianTagsPerPosition=0		
averageTagLength=68.104		
gsizeEstimate=3095535231		
averageFragmentGCcontent=-1.000		
chr1	2767086	3286275.0
chr2	2179546	2475693.0
chr3	1762560	1986455.0
chr4	1246585	1274776.0
chr5	1866384	2777777.0
chr6	1519880	2787670.0
chr7	1439231	1811328.0
chr8	1154513	1339045.0
chr9	1245697	1548921.0
chr10	1353945	1607802.0
chr11	1495284	2211573.0
chr12	1385491	2015561.0
chr13	648066	1027446.0
chr14	949379	2779861.0
chr15	979714	1667845.0
chr16	971641	1002779.0
chr17	1347185	1779358.0
chr18	528956	570663.0
chr19	1155795	1434889.0
chr20	702301	753397.0
chr21	300824	388912.0
chr22	603231	759283.0
chrX	743292	954803.0
chrY	1754	3372.0
chrM	44688	470281.0
GL000008.2	18	9.0
GL000009.2	26	14.0
GL000194.1	1140	619.0
GL000195.1	1662	930.0
GL000205.2	668	373.0
GL000208.1	6	3.0
GL000213.1	10	6.0
GL000214.1	10	5.0
GL000216.2	110	58.0
GL000218.1	26	13.0
GL000219.1	1134	642.0
GL000220.1	130	68.0
GL000221.1	191	98.0
GL000224.1	301	156.0
GL000225.1	56	28.0
KI270303.1	2	1.0
KI270310.1	2	1.0
KI270333.1	6	3.0
KI270382.1	12	6.0
KI270383.1	2	1.0
KI270384.1	8	4.0
KI270386.1	2	1.0
KI270387.1	2	1.0
KI270389.1	4	2.0
KI270390.1	10	5.0
KI270391.1	2	1.0
KI270393.1	2	1.0
KI270395.1	14	7.0
KI270396.1	2	2.0
KI270435.1	6	3.0
KI270438.1	477	274.0
KI270442.1	530	369.0
KI270466.1	10	5.0
KI270467.1	14	7.0
KI270512.1	2	1.0
KI270515.1	2	1.0
KI270518.1	2	1.0
KI270519.1	6	3.0
KI270538.1	2	1.0
KI270584.1	2	1.0
KI270589.1	12	6.0
KI270706.1	46	25.0
KI270707.1	2	1.0
KI270708.1	4	2.0
KI270709.1	16	8.0
KI270711.1	610	381.0
KI270712.1	28	16.0
KI270713.1	138	80.0
KI270714.1	2	1.0
KI270715.1	11	6.0
KI270716.1	4	2.0
KI270717.1	14	7.0
KI270718.1	4	2.0
KI270719.1	6	3.0
KI270720.1	6	3.0
KI270721.1	44	22.0
KI270722.1	8	4.0
KI270724.1	2	1.0
KI270725.1	8	4.0
KI270727.1	16	8.0
KI270728.1	12	7.0
KI270729.1	180	93.0
KI270730.1	30	15.0
KI270731.1	4	2.0
KI270732.1	4	2.0
KI270733.1	7080	145879.0
KI270734.1	140	78.0
KI270735.1	12	6.0
KI270736.1	96	48.0
KI270737.1	8	4.0
KI270738.1	38	20.0
KI270741.1	6	3.0
KI270742.1	233	124.0
KI270743.1	14	7.0
KI270744.1	55	28.0
KI270745.1	8	4.0
KI270746.1	6	4.0
KI270747.1	88	50.0
KI270748.1	7	4.0
KI270749.1	4	2.0
KI270750.1	2	1.0
KI270751.1	12	6.0
KI270753.1	4	2.0
KI270754.1	4	2.0
KI270756.1	16	9.0
KI270757.1	4	2.0
cmd=makeTagDirectory stranded/ARTDeco_output/preprocess_files/SRR7537187_sorted stranded/bams/artdeco_input/SRR7537187_sorted.bam -sspe		
